IM,Haz_diff
0.01,0.510404035
0.02,0.357047005
0.03,0.164044351
0.04,0.106768337
0.05,0.079728718
0.06,0.063056857
0.07,0.051870243
0.08,0.044496971
0.09,0.037677262
0.1,0.033096662
0.11,0.03015911
0.12,0.026558021
0.13,0.023175136
0.14,0.021081506
0.15,0.019971584
0.16,0.018415535
0.17,0.016515094
0.18,0.014903881
0.19,0.013525155
0.2,0.012904257
0.21,0.012598461
0.22,0.011767333
0.23,0.010811271
0.24,0.009968909
0.25,0.009222773
0.26,0.008558641
0.27,0.007964831
0.28,0.007744587
0.29,0.007744912
0.3,0.007432505
0.31,0.006951773
0.32,0.006515983
0.33,0.006119715
0.34,0.005758342
0.35,0.005427894
0.36,0.005124948
0.37,0.004846544
0.38,0.004590105
0.39,0.004454184
0.4,0.004554053
0.41,0.004544606
0.42,0.004309274
0.43,0.00409125
0.44,0.003888901
0.45,0.003700781
0.46,0.003525605
0.47,0.00336223
0.48,0.003209632
0.49,0.0030669
0.5,0.002933211
0.51,0.00280783
0.52,0.00269009
0.53,0.002579394
0.54,0.002475197
0.55,0.002460351
0.56,0.002566852
0.57,0.002582737
0.58,0.002476062
0.59,0.002375507
0.6,0.002280626
0.61,0.00219101
0.62,0.00210629
0.63,0.002026124
0.64,0.001950201
0.65,0.001878236
0.66,0.001809966
0.67,0.001745149
0.68,0.001683563
0.69,0.001625003
0.7,0.001569279
0.71,0.001516217
0.72,0.001465655
0.73,0.001417441
0.74,0.001371438
0.75,0.001327517
0.76,0.001285556
0.77,0.001272796
0.78,0.001366886
0.79,0.001428397
0.8,0.001379873
0.81,0.001333571
0.82,0.001289362
0.83,0.001247129
0.84,0.00120676
0.85,0.001168153
0.86,0.001131211
0.87,0.001095845
0.88,0.00106197
0.89,0.001029508
0.9,0.000998384
0.91,0.00096853
0.92,0.00093988
0.93,0.000912374
0.94,0.000885954
0.95,0.000860568
0.96,0.000836163
0.97,0.000812692
0.98,0.000790111
0.99,0.000768378
1,0.000747452
1.01,0.000727295
1.02,0.000707873
1.03,0.000689151
1.04,0.000671099
1.05,0.000653685
1.06,0.000636882
1.07,0.000620663
1.08,0.000605002
1.09,0.000680118
1.1,0.000751674
1.11,0.000729594
1.12,0.000708352
1.13,0.000687909
1.14,0.000668228
1.15,0.000649275
1.16,0.000631017
1.17,0.000613423
1.18,0.000596463
1.19,0.000580109
1.2,0.000564334
1.21,0.000549115
1.22,0.000534426
1.23,0.000520245
1.24,0.00050655
1.25,0.000493322
1.26,0.000480541
1.27,0.000468188
1.28,0.000456245
1.29,0.000444697
1.3,0.000433527
1.31,0.00042272
1.32,0.000412261
1.33,0.000402138
1.34,0.000392335
1.35,0.000382843
1.36,0.000373647
1.37,0.000364737
1.38,0.000356102
1.39,0.000347732
1.4,0.000339616
1.41,0.000331746
1.42,0.000324111
1.43,0.000316704
1.44,0.000309517
1.45,0.00030254
1.46,0.000295767
1.47,0.00028919
1.48,0.000282803
1.49,0.000276598
1.5,0.00027057
1.51,0.000264712
1.52,0.000324328
1.53,0.000381253
1.54,0.000370293
1.55,0.000359716
1.56,0.000349506
1.57,0.000339648
1.58,0.000330129
1.59,0.000320933
1.6,0.00031205
1.61,0.000303465
1.62,0.000295167
1.63,0.000287145
1.64,0.000279389
1.65,0.000271887
1.66,0.00026463
1.67,0.000257609
1.68,0.000250814
1.69,0.000244237
1.7,0.00023787
1.71,0.000231705
1.72,0.000225734
1.73,0.00021995
1.74,0.000214347
1.75,0.000208917
1.76,0.000203654
1.77,0.000198553
1.78,0.000193607
1.79,0.000188811
1.8,0.00018416
1.81,0.000179648
1.82,0.000175271
1.83,0.000171023
1.84,0.000166901
1.85,0.000162899
1.86,0.000159014
1.87,0.000155242
1.88,0.000151579
1.89,0.000148021
1.9,0.000144565
1.91,0.000141207
1.92,0.000137944
1.93,0.000134772
1.94,0.00013169
1.95,0.000128693
1.96,0.000125779
1.97,0.000122946
1.98,0.00012019
1.99,0.000117509
2,0.000116188